"File Name","Priority","Issue Category","Issue Type","Line No","Existing Code","Problem","Fix Suggestion","Status"
"src/Core/Plugin.php","Medium","OOP Refactor","Long Method","212","private function registerServices(): void {","The plugin bootstrap owns a 231-line service registration method with repository bindings, service factories, execution services, REST dependencies, and admin dependencies in one place.","Split registrations into focused provider classes such as PersistenceServiceProvider, ExecutionServiceProvider, RestServiceProvider, and AdminServiceProvider, then let Plugin load those providers.","Fixed"
"src/Integration/WordPress/WordPressActionCatalog.php","Medium","OOP Refactor","God Catalog","46","public static function definitions(): array {","The WordPress action catalog is a 1494-line method containing every group and schema, which makes review and targeted changes risky.","Move domain groups into separate catalog classes such as UserActionCatalog, PostActionCatalog, TaxonomyActionCatalog, and merge them in WordPressActionRegistrar.","Fixed"
"src/Integration/WordPress/WordPressServices.php","Medium","OOP Refactor","God Class","20","final class WordPressServices {","One service implements user, post, comment, media, taxonomy, role, capability, and plugin action behavior, so unrelated workflows share one large change surface.","Split by business domain and dispatch catalog methods to dedicated services while keeping WordPressActionHelper for shared formatting utilities.","Fixed"
"src/Service/WorkflowExecutionService.php","Medium","OOP Refactor","Long Method","324","private function executeNodesGuarded( WorkflowRun $run ): WorkflowRun {","This method mixes graph planning, queue traversal, node execution, run-log persistence, branch behavior, status calculation, and hook dispatch.","Extract a run coordinator with smaller collaborators for traversal, node result logging, branch scheduling, and finalization.","Fixed"
"src/Service/Agent/AgentService.php","Medium","OOP Refactor","Long Method","112","private function executeOnce( array $config, array $context, string $agent_node_id, array $graph_nodes ): array {","Agent execution combines attachment resolution, model fallback, prompt setup, loop execution, parser selection, and final response assembly in one 171-line method.","Move fallback model selection, parser execution, and result shaping into private services or focused methods with single responsibilities.","Fixed"
"src/Service/Agent/AgentService.php","Medium","OOP Refactor","Long Method","650","private function runAgentLoop(","The agent loop handles LLM completion, duplicate tool-call caching, create-post guarding, tool execution, message mutation, and terminal result formatting.","Extract tool-call handling and loop result formatting into collaborators so the loop only coordinates iterations.","Fixed"
"src/Service/ElementorFormsService.php","Medium","Optimization","Duplicate Code","480","$post_ids = $wpdb->get_col(","The Elementor postmeta scan is duplicated with the same DISTINCT post_id query in findForm and scanForms, creating two maintenance points and repeated query setup.","Extract a cached private fetchElementorPostIds() method and reuse it from both form lookup paths.","Not Fixed"
"src/Rest/GoogleOAuthCallbackController.php","Low","Dead Code","Unused Import","23","use AIAWAB\Plugin\Admin\Pages\BuilderPage;","BuilderPage is imported but never referenced in this controller after a whole-file search.","Remove the unused import to keep the controller dependency list accurate.","Fixed"
"assets/builder/src/App.js","High","JS Refactor","JS Long Component","126","export default function App() {","The main builder component spans roughly 1900 lines and owns loading, autosave, graph editing, node insertion, connection dragging, testing, import/export, chat state, and rendering.","Split orchestration into hooks such as useWorkflowLoader, useAutosave, useGraphEditing, useConnectionDragState, and useBuilderChat, then keep App as composition.","Not Fixed"
"assets/builder/src/components/ConfigPanel.js","High","JS Refactor","JS Long Component","258","export default function ConfigPanel({","ConfigPanel is a 400-plus-line component and the file also contains several large field components, mixing node editing, testing, credential flows, and conditional field rendering.","Move field types and connection workflows into focused components and hooks such as useNodeConfigState and useConnectionForm.","Not Fixed"
"assets/builder/src/components/ConfigPanel.js","Medium","JS Refactor","JS Long Function","1405","function ConnectionField({","ConnectionField spans roughly 670 lines and combines saved-connection filtering, OAuth handling, credential form state, REST writes, model loading, notices, and rendering.","Extract OAuth flow, inline credential creation, model loading, and select rendering into smaller components or hooks.","Not Fixed"
